time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
2/24/2021,48899.99,51415.41,47002,49737.82,63695521388,4413.41,0.017133541,53238.524,48431.178,40580.8816,33060.26432,31267.6462,21643.1288,51683.6198,3780.589223,48355.08543,5407.302563,41275.95403,7591.681526,33818.88248,11276.24506,3328.534368,10407.66577,17864.73732,7079.131401,14536.20296,7457.071554,59245.78313,37616.57287
2/25/2021,49737.81,52107.83,46700,47058.48,54506565949,5407.83,-0.053869269,51465.516,48868.5275,40784.866,33388.17841,31561.4374,21819.9788,50141.90653,4255.507401,48231.5992,4873.074368,41502.71976,7626.586316,34081.05273,11301.33368,1910.307332,8639.186777,16060.85381,6728.879445,14150.54648,7421.667031,58614.67624,39122.37876
2/26/2021,47063.9,48464.64,44150,46326.2,3.50968E+11,4314.64,-0.015561064,49232.924,49221.566,40921.2788,33690.59045,31846.8703,21992.11115,48870.00436,3067.707601,48050.13261,4370.604234,41691.87585,7664.143201,34323.53089,11310.26947,819.8717448,7178.128511,14546.47347,6358.256766,13726.60172,7368.344955,57962.77447,40480.35753
2/27/2021,46319.79,48356.86,45055,46180.75,45910946382,3301.86,-0.003139692,47640.648,49587.0325,41031.5908,34001.92886,32130.462,22166.07225,47973.58624,1595.46764,47872.09617,3716.189124,41867.91013,7699.99133,34558.32731,11310.58603,101.4900652,6105.676112,13415.25893,6004.186046,13313.76886,7309.582817,57019.41075,42154.65425
2/28/2021,46169.92,46656,43016,45231.75,53443887451,3640,-0.020549688,46907,49526.215,41131.0772,34297.45295,32396.027,22334.39875,47059.64082,1710.827163,47620.63463,3779.674057,41999.82542,7721.888572,34769.68221,11303.23758,-560.993807,5059.81541,12289.95861,5620.809217,12850.95242,7230.143202,57085.56311,41966.86689
3/1/2021,45231.74,49829,45042.13,49639.4,53891300112,4786.87,0.097445931,46887.316,49682.4485,41360.4338,34640.52977,32705.2089,22523.616,47919.56055,1670.19826,47812.898,3712.62692,42299.41658,7802.084028,35064.13207,11348.176,106.6625496,5620.143975,12855.42848,5513.481425,12748.76593,7235.284505,57107.70234,42257.19466
3/2/2021,49635.3,50250,47075.11,48511.6,47530897720,3174.89,-0.022719856,47177.94,49865.5285,41621.614,34979.77409,33005.9483,22707.279,48116.90703,1826.536255,47879.44105,3548.43432,42543.03161,7818.840471,35330.41856,11364.73519,237.4659853,5573.875422,12786.48847,5336.409436,12549.02248,7212.613047,56962.39714,42768.65986
3/3/2021,48502.18,52666,48161.75,50360,53220811975,4504.25,0.038102227,47984.7,49983.633,41948.0344,35334.33136,33325.7001,22899.7828,48864.60469,2207.412235,48115.68476,3522.214211,42849.57939,7836.485294,35628.03404,11398.97434,748.9199312,6015.025297,13236.57065,5266.105366,12487.65072,7221.545353,57028.06142,42939.20458
3/4/2021,50370.33,51798.33,47502,48368.52,52343816680,4296.33,-0.039544877,48422.254,50031.642,42167.5316,35663.79636,33617.6569,23082.0312,48699.24313,1963.828517,48139.7643,3491.676002,43066.00843,7859.981234,35880.32089,11406.70726,559.4788213,5633.234691,12818.92224,5073.75587,12259.44342,7185.687546,57014.994,43048.29
3/5/2021,48370.97,49473.99,46219.32,48769.47,48625928883,3254.67,0.008289482,49129.798,50108.493,42360.4182,36000.06636,33918.1323,23264.35725,48722.65208,846.2624279,48199.73628,3443.404875,43289.67359,7902.021347,36135.55156,11406.11669,522.9158084,5432.97849,12587.10052,4910.062681,12064.18471,7154.12203,56995.30275,43221.68325
3/6/2021,48766.01,49210,47077,48909.84,34363564661,2133,0.002878235,48983.886,50119.9505,42603.5216,36347.72114,34235.5307,23449.15645,48785.04806,797.9467639,48267.3652,3438.782126,43510.07228,7913.010053,36388.50777,11376.93373,517.6828542,5274.975779,12396.54028,4757.292925,11878.85743,7121.564506,56997.51475,43242.38625
3/7/2021,48909.84,51459,48909.83,50978.61,43137459378,2549.17,0.042297624,49477.288,50272.0625,42902.955,36716.26727,34573.7773,23645.25515,49516.23537,1127.554683,48525.57899,3404.221364,43802.95611,7941.514372,36677.42069,11366.7674,990.6563786,5713.279261,12838.81468,4722.622883,11848.15831,7125.535423,57080.50523,43463.61977
3/8/2021,50976.22,52425,49328.62,52415.23,48597428048,3096.38,0.028180839,49888.334,50434.8885,43234.8596,37104.46943,34920.5311,23848.01,50482.56691,1738.752923,48896.02195,3425.977431,44140.69234,7986.112904,36989.06047,11376.94338,1586.544969,6341.874574,13493.50644,4755.329605,11906.96147,7151.631865,57286.84336,43582.93364
3/9/2021,52413.17,54936,51845.01,54916.38,50912227385,3090.99,0.047718001,51197.906,50572.207,43600.7026,37523.49477,35287.6745,24064.9458,51960.50461,2573.400706,49469.38938,3551.909033,44563.26833,8095.334265,37344.0569,11424.27675,2491.11523,7397.236282,14616.44771,4906.121052,12125.33248,7219.211426,57676.02507,43468.38893
3/10/2021,54921.61,57402.14,53025,55890.69,57295577614,4377.14,0.017741701,52622.15,50786.655,44000.1708,37944.73807,35649.442,24286.0346,53270.56641,2849.216128,50080.94182,3741.739553,45007.48094,8200.569258,37711.31696,11498.68297,3189.624587,8263.085465,15559.24944,5073.460878,12369.62486,7296.163979,58270.13411,43303.17589
3/11/2021,55888.7,58113,54283,57815.47,56772343595,3830,0.034438294,54403.276,50878.2505,44446.4184,38383.9292,36039.767,24516.8619,54785.53427,2729.441707,50817.56355,3894.938056,45509.75502,8334.735205,38109.419,11582.54122,3967.97072,9275.779249,16676.11527,5307.808528,12708.14455,7400.336019,58668.12661,43088.37439
3/12/2021,57820.15,58065.92,55050,57225.91,55689944702,3015.92,-0.010197271,55652.736,50943.37,44973.8176,38815.21943,36419.7698,24744.2222,55598.99285,2134.981391,51427.88226,3993.373014,45969.21208,8291.414067,38487.96338,11648.50018,4171.110587,9629.780767,17111.02947,5458.67018,12939.91888,7481.248701,58930.11603,42956.62397
3/13/2021,57220.84,61788.45,56083.74,61178.5,60669829814,5704.71,0.069069937,57405.39,51127.837,45537.689,39289.4683,36837.0684,24993.4901,57458.82856,2394.066865,52356.51252,4378.316731,46565.65474,8417.172161,38937.28094,11781.09672,5102.316044,10893.17382,18521.54763,5790.857777,13419.23159,7628.373808,59884.47046,42371.20354
